timestamp,job_id,job_type,machine_id,duration,cpu_usage,ram_usage,hour_of_day,concurrent_load,base_duration,priority
1700000000,J016_ML_INFER,ML_INFER,CHEAP,142.43,54.8,21.4,2,13,60,high
1700000300,J012_AUTH,AUTH,CHEAP,20.31,28.6,10.3,17,9,10,medium
1700000600,J024_ML_INFER,ML_INFER,MEM_OPT,45.62,81.8,68.9,16,3,60,medium
1700000900,J016_ML_INFER,ML_INFER,GPU,21.48,85.3,49.1,17,1,60,high
1700001200,J019_AUTH,AUTH,MEM_OPT,8.68,33.1,25.1,7,10,10,medium
1700001500,J002_DB_READ,DB_READ,GPU,6.67,69.6,31.5,17,3,20,high
1700001800,J008_AGGREGATE,AGGREGATE,CHEAP,37.95,35.4,10.1,21,12,12,high
1700002100,J014_ML_INFER,ML_INFER,CHEAP,141.56,45.5,20.6,2,2,60,high
1700002400,J007_AGGREGATE,AGGREGATE,GPU,3.66,80.1,14.6,4,8,12,medium
1700002700,J007_AGGREGATE,AGGREGATE,CHEAP,32.57,27.2,9.1,23,2,12,medium
1700003000,J021_TRANSFORM,TRANSFORM,GPU,3.32,77.0,23.2,4,7,15,critical
1700003300,J005_TRANSFORM,TRANSFORM,MEM_OPT,12.08,58.9,29.5,20,9,15,critical
1700003600,J026_NOTIFY,NOTIFY,GPU,1.5,30.2,6.8,12,1,5,high
1700003900,J005_TRANSFORM,TRANSFORM,CHEAP,36.79,32.2,14.0,23,18,15,critical
1700004200,J021_TRANSFORM,TRANSFORM,CHEAP,35.66,35.1,14.4,1,2,15,critical
1700004500,J018_ML_INFER,ML_INFER,CHEAP,185.01,48.1,19.6,19,3,60,medium
1700004800,J021_TRANSFORM,TRANSFORM,CPU_OPT,15.45,53.3,14.2,21,11,15,critical
1700005100,J029_TRANSFORM,TRANSFORM,MEM_OPT,9.36,53.5,33.5,10,2,15,high
1700005400,J000_NOTIFY,NOTIFY,CHEAP,13.49,12.2,3.2,11,3,5,high
1700005700,J028_DB_READ,DB_READ,CPU_OPT,21.46,53.5,26.8,20,1,20,low
1700006000,J021_TRANSFORM,TRANSFORM,MEM_OPT,10.9,51.1,45.3,4,5,15,critical
1700006300,J009_NOTIFY,NOTIFY,CPU_OPT,4.9,18.7,6.7,1,3,5,medium
1700006600,J020_AGGREGATE,AGGREGATE,CHEAP,28.31,32.5,8.4,14,18,12,high
1700006900,J022_ML_INFER,ML_INFER,CHEAP,169.69,42.8,21.3,11,19,60,low
1700007200,J017_TRANSFORM,TRANSFORM,CPU_OPT,17.91,64.8,13.3,11,7,15,critical
1700007500,J021_TRANSFORM,TRANSFORM,CPU_OPT,18.8,69.2,18.7,7,6,15,critical
1700007800,J025_NOTIFY,NOTIFY,CPU_OPT,5.29,21.2,6.6,23,8,5,critical
1700008100,J008_AGGREGATE,AGGREGATE,CPU_OPT,15.46,41.0,16.9,14,12,12,high
1700008400,J009_NOTIFY,NOTIFY,CPU_OPT,4.24,17.1,6.1,11,13,5,medium
1700008700,J021_TRANSFORM,TRANSFORM,MEM_OPT,10.46,52.5,38.1,3,10,15,critical
1700009000,J013_DB_READ,DB_READ,MEM_OPT,15.41,40.5,50.5,8,1,20,medium
1700009300,J022_ML_INFER,ML_INFER,CHEAP,143.37,64.3,25.9,11,14,60,low
1700009600,J002_DB_READ,DB_READ,MEM_OPT,17.5,45.5,47.4,10,7,20,high
1700009900,J022_ML_INFER,ML_INFER,MEM_OPT,41.44,74.3,69.0,18,5,60,low
1700010200,J012_AUTH,AUTH,GPU,3.03,49.0,16.7,21,4,10,medium
1700010500,J016_ML_INFER,ML_INFER,CHEAP,178.97,53.9,26.7,19,11,60,high
1700010800,J002_DB_READ,DB_READ,CPU_OPT,17.06,46.7,19.5,2,15,20,high
1700011100,J013_DB_READ,DB_READ,CPU_OPT,18.46,57.7,23.8,3,14,20,medium
1700011400,J007_AGGREGATE,AGGREGATE,CPU_OPT,13.76,60.7,11.8,4,15,12,medium
1700011700,J021_TRANSFORM,TRANSFORM,MEM_OPT,13.39,51.9,44.5,17,8,15,critical
1700012000,J028_DB_READ,DB_READ,CPU_OPT,19.56,57.7,22.1,16,16,20,low
1700012300,J020_AGGREGATE,AGGREGATE,CPU_OPT,10.32,42.5,13.6,4,5,12,high
1700012600,J007_AGGREGATE,AGGREGATE,CHEAP,31.22,31.7,8.8,6,14,12,medium
1700012900,J012_AUTH,AUTH,GPU,2.66,55.5,17.4,13,4,10,medium
1700013200,J015_DB_READ,DB_READ,CPU_OPT,20.52,61.3,22.3,14,5,20,low
1700013500,J019_AUTH,AUTH,GPU,2.82,55.4,19.2,5,1,10,medium
1700013800,J008_AGGREGATE,AGGREGATE,CHEAP,34.02,27.1,11.5,13,9,12,high
1700014100,J026_NOTIFY,NOTIFY,GPU,1.83,26.2,5.5,20,1,5,high
1700014400,J024_ML_INFER,ML_INFER,GPU,17.74,84.2,41.8,18,4,60,medium
1700014700,J014_ML_INFER,ML_INFER,MEM_OPT,51.55,56.8,88.4,9,2,60,high
1700015000,J018_ML_INFER,ML_INFER,GPU,19.69,99.0,41.1,18,4,60,medium
1700015300,J003_AUTH,AUTH,MEM_OPT,9.62,36.3,25.0,13,11,10,medium
1700015600,J011_AGGREGATE,AGGREGATE,GPU,4.22,57.1,22.9,20,8,12,high
1700015900,J022_ML_INFER,ML_INFER,CPU_OPT,54.22,99.0,37.3,15,15,60,low
1700016200,J013_DB_READ,DB_READ,MEM_OPT,12.26,41.0,57.4,18,10,20,medium
1700016500,J021_TRANSFORM,TRANSFORM,CHEAP,36.35,33.9,10.5,8,20,15,critical
1700016800,J022_ML_INFER,ML_INFER,MEM_OPT,38.8,69.5,73.7,7,12,60,low
1700017100,J015_DB_READ,DB_READ,CHEAP,48.33,26.7,15.3,11,16,20,low
1700017400,J017_TRANSFORM,TRANSFORM,MEM_OPT,11.46,45.8,33.4,3,12,15,critical
1700017700,J006_AUTH,AUTH,MEM_OPT,5.48,28.5,30.1,23,10,10,high
1700018000,J024_ML_INFER,ML_INFER,MEM_OPT,46.24,70.7,79.8,4,5,60,medium
1700018300,J001_NOTIFY,NOTIFY,GPU,1.81,29.0,7.7,18,5,5,high
1700018600,J015_DB_READ,DB_READ,CHEAP,60.09,30.6,15.5,12,16,20,low
1700018900,J002_DB_READ,DB_READ,GPU,4.5,73.6,30.1,13,4,20,high
1700019200,J024_ML_INFER,ML_INFER,CHEAP,184.05,49.2,26.9,19,4,60,medium
1700019500,J024_ML_INFER,ML_INFER,CPU_OPT,56.53,87.6,26.6,13,15,60,medium
1700019800,J022_ML_INFER,ML_INFER,CHEAP,156.97,50.2,26.9,8,19,60,low
1700020100,J021_TRANSFORM,TRANSFORM,CPU_OPT,17.72,68.4,14.3,5,10,15,critical
1700020400,J019_AUTH,AUTH,MEM_OPT,6.74,28.9,28.1,14,2,10,medium
1700020700,J019_AUTH,AUTH,GPU,2.72,52.2,17.7,18,1,10,medium
1700021000,J024_ML_INFER,ML_INFER,MEM_OPT,44.4,74.0,65.4,18,7,60,medium
1700021300,J020_AGGREGATE,AGGREGATE,CHEAP,32.32,25.1,8.5,13,16,12,high
1700021600,J009_NOTIFY,NOTIFY,CHEAP,12.88,11.2,4.8,12,17,5,medium
1700021900,J026_NOTIFY,NOTIFY,GPU,1.39,26.6,7.8,20,8,5,high
1700022200,J024_ML_INFER,ML_INFER,GPU,16.35,99.0,39.8,20,4,60,medium
1700022500,J022_ML_INFER,ML_INFER,CPU_OPT,50.99,92.3,27.9,3,5,60,low
1700022800,J015_DB_READ,DB_READ,MEM_OPT,17.43,37.7,52.2,12,4,20,low
1700023100,J029_TRANSFORM,TRANSFORM,CPU_OPT,16.42,67.3,17.9,0,10,15,high
1700023400,J023_AGGREGATE,AGGREGATE,MEM_OPT,11.0,39.7,32.8,10,9,12,low
1700023700,J024_ML_INFER,ML_INFER,CHEAP,164.84,53.6,20.1,13,2,60,medium
1700024000,J010_TRANSFORM,TRANSFORM,CHEAP,43.74,43.1,14.0,15,2,15,high
1700024300,J004_AGGREGATE,AGGREGATE,MEM_OPT,9.67,42.3,34.4,13,11,12,critical
1700024600,J004_AGGREGATE,AGGREGATE,GPU,3.97,81.2,19.8,21,7,12,critical
1700024900,J010_TRANSFORM,TRANSFORM,CHEAP,45.19,38.2,13.2,23,3,15,high
1700025200,J013_DB_READ,DB_READ,GPU,5.66,73.7,20.1,10,1,20,medium
1700025500,J009_NOTIFY,NOTIFY,MEM_OPT,3.55,16.6,11.2,2,10,5,medium
1700025800,J027_ML_INFER,ML_INFER,CHEAP,134.32,50.4,23.4,8,1,60,low
1700026100,J028_DB_READ,DB_READ,CHEAP,55.95,32.1,14.5,20,14,20,low
1700026400,J022_ML_INFER,ML_INFER,MEM_OPT,49.09,58.3,80.5,11,10,60,low
1700026700,J009_NOTIFY,NOTIFY,MEM_OPT,2.41,19.6,13.9,1,10,5,medium
1700027000,J023_AGGREGATE,AGGREGATE,CHEAP,29.82,36.3,9.4,6,20,12,low
1700027300,J008_AGGREGATE,AGGREGATE,CPU_OPT,11.7,52.7,14.9,23,5,12,high
1700027600,J002_DB_READ,DB_READ,MEM_OPT,15.31,49.8,42.7,16,5,20,high
1700027900,J026_NOTIFY,NOTIFY,CPU_OPT,5.4,23.4,5.2,3,15,5,high
1700028200,J002_DB_READ,DB_READ,CPU_OPT,23.75,49.9,24.7,17,12,20,high
1700028500,J002_DB_READ,DB_READ,CHEAP,47.1,35.5,15.4,20,12,20,high
1700028800,J003_AUTH,AUTH,CPU_OPT,9.39,42.8,14.5,20,15,10,medium
1700029100,J029_TRANSFORM,TRANSFORM,MEM_OPT,8.96,53.1,29.5,7,9,15,high
1700029400,J004_AGGREGATE,AGGREGATE,CHEAP,36.26,30.0,11.5,4,14,12,critical
1700029700,J020_AGGREGATE,AGGREGATE,GPU,3.67,77.0,17.4,14,4,12,high
1700030000,J027_ML_INFER,ML_INFER,MEM_OPT,45.82,70.5,74.3,6,2,60,low
